Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2017,HOU,2313,5611,6271,1581,977,346,20,238,896,854,509,27,1087,70,61,11,139,98,,
2017,COL,2374,5534,6201,1510,987,293,38,192,824,793,519,46,1408,44,41,62,143,59,,
2017,MIA,2399,5602,6248,1497,1001,271,31,194,778,743,486,48,1282,67,41,50,119,91,,
2017,WSN,2322,5553,6214,1477,920,311,31,215,819,796,542,56,1327,31,45,43,116,108,,
2017,CLE,2367,5511,6234,1449,875,333,29,212,818,780,604,30,1153,50,45,23,125,88,,
2017,ATL,2374,5584,6216,1467,987,289,26,165,732,706,474,57,1184,66,32,59,137,77,,
2017,NYY,2294,5594,6354,1463,933,266,23,241,858,821,616,22,1386,64,56,18,119,90,,
2017,BAL,2351,5650,6140,1469,956,269,12,232,743,713,392,12,1412,50,37,10,138,32,,
2017,MIN,2324,5557,6261,1444,921,286,31,206,815,781,593,26,1342,46,39,26,105,95,,
2017,KCR,2342,5536,6027,1436,959,260,24,193,702,660,390,19,1166,45,37,17,160,91,,
2017,SEA,2323,5551,6166,1436,938,281,17,200,750,714,487,31,1267,78,35,14,131,89,,
2017,DET,2336,5556,6150,1435,924,289,35,187,735,699,503,21,1313,52,27,11,128,65,,
2017,BOS,2334,5669,6338,1461,972,302,19,168,785,735,571,48,1224,53,36,9,141,106,,
2017,STL,2416,5470,6219,1402,894,284,28,196,761,728,593,36,1348,65,44,47,139,81,,
2017,CHW,2289,5513,6059,1412,933,256,37,186,706,670,401,17,1397,76,33,35,124,71,,
2017,CHC,2420,5496,6283,1402,876,274,29,223,822,785,622,54,1401,82,32,48,134,62,,
2017,ARI,2360,5525,6224,1405,832,314,39,220,812,776,578,44,1456,54,27,39,106,103,,
2017,CIN,2321,5484,6213,1390,884,249,38,219,753,715,565,41,1329,72,42,50,116,120,,
2017,NYM,2396,5510,6169,1379,841,286,28,224,735,713,529,31,1291,57,37,36,118,58,,
2017,PHI,2308,5535,6133,1382,885,287,36,174,690,654,494,25,1417,47,36,21,128,59,,
2017,MIL,2423,5467,6135,1363,850,267,22,224,732,695,547,34,1571,53,26,42,116,128,,
2017,LAD,2464,5408,6191,1347,794,312,20,221,770,730,649,41,1380,64,38,31,119,77,,
2017,SFG,2372,5551,6137,1382,936,290,28,128,639,612,467,37,1204,36,52,31,136,76,,
2017,OAK,2350,5464,6126,1344,790,305,15,234,739,708,565,15,1491,43,40,13,129,57,,
2017,TBR,2345,5478,6147,1340,854,226,32,228,694,671,545,33,1538,55,48,16,115,88,,
2017,TEX,2268,5430,6122,1326,813,255,21,237,799,756,544,18,1493,81,39,27,110,113,,
2017,PIT,2371,5458,6136,1331,895,249,36,151,668,635,519,39,1213,88,28,42,120,67,,
2017,LAA,2392,5415,6073,1314,863,251,14,186,710,678,523,30,1198,70,46,17,141,136,,
2017,TOR,2455,5499,6154,1320,824,269,5,222,693,661,542,12,1327,51,35,25,153,53,,
2017,SDP,2342,5356,5954,1251,804,227,31,189,604,576,460,20,1499,53,33,52,99,89,,
2012,TEX,2236,5590,6216,1526,991,303,32,200,808,780,478,44,1103,57,53,36,121,91,44,0.273
2012,NYY,2367,5524,6231,1462,924,280,13,245,804,774,565,31,1176,62,49,31,136,93,27,0.265
2012,MIL,2415,5557,6224,1442,901,300,39,202,776,741,466,35,1240,90,35,76,111,158,39,0.259
2012,LAA,2267,5536,6121,1518,1036,273,22,187,767,732,449,29,1113,47,41,47,138,134,33,0.274
2012,STL,2391,5622,6326,1526,1040,290,37,159,765,732,533,45,1192,53,49,69,135,91,37,0.271
2012,COL,2429,5577,6183,1526,1002,306,52,166,758,716,450,34,1213,36,39,74,132,100,40,0.274
2012,CHW,2277,5518,6111,1409,941,228,29,211,748,726,461,24,1203,65,36,31,113,109,43,0.255
2012,BOS,2317,5604,6166,1459,939,339,16,165,734,695,428,27,1197,45,55,34,105,97,31,0.26
2012,ARI,2213,5462,6150,1416,911,307,33,165,734,710,539,47,1266,41,45,61,108,93,51,0.259
2012,WSN,2338,5615,6221,1468,948,301,25,194,731,688,479,43,1325,41,36,50,111,105,35,0.261
2012,DET,2248,5476,6119,1467,986,279,39,163,726,698,511,46,1103,57,39,36,156,59,23,0.268
2012,SFG,2384,5558,6200,1495,1048,287,57,103,718,675,483,44,1097,29,61,69,115,118,39,0.269
2012,TOR,2289,5487,6094,1346,879,247,22,198,716,677,473,29,1251,55,45,33,109,123,41,0.245
2012,OAK,2247,5527,6183,1315,821,267,32,195,713,676,550,29,1387,45,34,27,97,122,32,0.238
2012,BAL,2282,5560,6160,1375,875,270,16,214,712,677,480,24,1315,50,30,38,152,58,29,0.247
2012,MIN,2271,5562,6209,1448,1017,270,30,131,701,666,505,28,1069,53,56,33,149,135,37,0.26
2012,ATL,2264,5425,6126,1341,899,263,30,149,700,660,567,37,1289,34,46,53,109,101,32,0.247
2012,TBR,2406,5398,6105,1293,838,250,30,175,697,665,571,26,1323,58,42,34,133,134,44,0.24
2012,PHI,2294,5544,6172,1414,957,271,28,158,684,659,454,41,1094,63,39,72,115,116,23,0.255
2012,KCR,2249,5636,6149,1492,1029,295,37,131,676,643,404,35,1032,42,41,26,130,132,38,0.265
2012,CIN,2211,5477,6115,1377,879,296,30,172,669,636,481,54,1266,47,37,73,100,87,27,0.251
2012,CLE,2339,5525,6195,1385,959,266,24,136,667,635,555,28,1087,59,39,17,142,110,44,0.251
2012,SDP,2384,5422,6112,1339,903,272,43,121,651,610,539,36,1238,54,34,63,100,155,46,0.247
2012,PIT,2360,5412,6014,1313,865,241,37,170,651,620,444,32,1354,51,45,62,98,73,52,0.243
2012,NYM,2420,5450,6091,1357,911,286,21,139,650,625,503,43,1250,42,30,64,118,79,38,0.249
2012,LAD,2356,5438,6091,1369,961,269,23,116,637,607,481,49,1156,52,38,82,139,104,44,0.252
2012,SEA,2236,5494,6057,1285,868,241,27,149,619,584,466,21,1259,30,35,32,95,104,35,0.234
2012,CHC,2341,5411,5967,1297,859,265,36,137,613,570,447,29,1235,43,24,42,125,94,45,0.24
2012,MIA,2269,5437,6057,1327,890,261,39,137,609,576,484,46,1228,35,40,60,114,149,41,0.244
2012,HOU,2421,5407,6014,1276,864,238,28,146,583,545,463,19,1365,58,30,54,114,105,46,0.236
2013,BOS,2264,5651,6382,1566,996,363,29,178,853,819,581,51,1308,72,50,24,137,123,19,0.277
2013,DET,2274,5735,6388,1625,1134,292,23,176,796,767,531,40,1073,43,47,32,147,35,20,0.283
2013,STL,2341,5557,6202,1494,1027,322,20,125,783,745,481,38,1110,64,44,56,155,45,22,0.269
2013,OAK,2313,5521,6209,1403,891,301,25,186,767,725,573,29,1178,45,49,21,108,74,28,0.254
2013,BAL,2246,5620,6144,1460,936,298,14,212,745,719,416,36,1125,36,45,27,105,79,29,0.26
2013,CLE,2337,5465,6165,1391,907,290,23,171,745,711,562,19,1283,51,56,31,106,117,36,0.255
2013,LAA,2311,5588,6260,1476,1003,270,39,164,733,696,523,40,1221,48,64,37,150,82,34,0.264
2013,TEX,2321,5585,6196,1465,1004,262,23,176,730,691,462,26,1067,61,42,45,125,149,46,0.262
2013,TOR,2314,5537,6152,1398,916,273,24,185,712,669,510,19,1123,38,38,29,133,112,41,0.252
2013,COL,2330,5599,6152,1511,1033,283,36,159,706,673,427,26,1204,26,35,65,111,112,32,0.27
2013,TBR,2423,5538,6242,1421,937,296,23,165,700,670,589,31,1171,36,55,24,140,73,38,0.257
2013,CIN,2286,5499,6293,1370,921,274,20,155,698,664,585,65,1245,76,46,85,129,67,35,0.249
2013,ATL,2293,5441,6133,1354,905,247,21,181,688,656,542,36,1384,55,35,58,120,64,31,0.249
2013,ARI,2349,5676,6334,1468,1005,302,31,130,685,647,519,51,1142,43,43,50,160,62,41,0.259
2013,WSN,2241,5436,6047,1365,918,259,27,161,656,621,464,35,1192,40,39,68,115,88,28,0.251
2013,NYY,2253,5449,6044,1321,906,247,24,144,650,614,466,33,1214,57,36,36,121,115,31,0.242
2013,LAD,2336,5491,6145,1447,1011,281,17,138,649,618,476,45,1146,57,48,71,130,78,28,0.264
2013,KCR,2236,5549,6093,1443,1043,254,34,112,648,620,422,38,1048,42,42,37,131,153,32,0.26
2013,MIL,2335,5474,6064,1381,943,238,43,157,640,610,407,22,1183,71,35,77,116,142,50,0.252
2013,PIT,2369,5486,6135,1346,877,273,35,161,634,603,469,41,1330,88,29,62,120,94,42,0.245
2013,SFG,2396,5552,6168,1446,1024,280,35,107,629,596,469,40,1078,39,42,66,131,67,26,0.26
2013,SEA,2237,5558,6172,1318,864,249,17,188,624,597,529,21,1353,31,28,26,122,49,23,0.237
2013,NYM,2378,5559,6207,1318,893,263,32,130,619,593,512,40,1384,51,32,53,106,114,35,0.237
2013,SDP,2359,5517,6122,1349,931,246,26,146,618,578,467,36,1309,52,34,52,100,118,34,0.245
2013,MIN,2332,5564,6212,1346,895,285,15,151,614,590,533,20,1430,52,32,29,104,52,33,0.242
2013,PHI,2310,5456,6014,1355,928,255,32,140,610,578,417,41,1205,53,31,57,132,73,29,0.248
2013,HOU,2266,5457,6020,1307,877,266,16,148,610,566,426,17,1535,52,38,46,110,110,61,0.24
2013,CHC,2294,5498,6079,1307,820,297,18,172,602,576,439,28,1230,67,30,43,120,63,32,0.238
2013,CHW,2279,5563,6077,1385,981,237,19,148,598,574,411,23,1207,34,48,19,124,105,42,0.249
2013,MIA,2244,5449,6021,1257,912,219,31,95,513,485,432,31,1232,56,26,57,131,78,29,0.231
2014,LAA,2468,5652,6284,1464,974,304,31,155,773,729,492,42,1266,60,54,26,112,81,39,0.259
2014,DET,2330,5630,6202,1557,1051,325,26,155,757,731,443,51,1144,44,61,24,137,106,41,0.277
2014,COL,2387,5612,6164,1551,1017,307,41,186,755,721,397,39,1281,48,48,59,121,85,48,0.276
2014,OAK,2358,5545,6245,1354,922,253,33,146,729,686,586,34,1104,49,43,19,118,83,20,0.244
2014,TOR,2397,5549,6167,1435,952,282,24,177,723,690,502,27,1151,41,40,35,128,78,21,0.259
2014,LAD,2364,5560,6231,1476,1002,302,38,134,718,686,519,30,1246,61,43,47,119,138,50,0.265
2014,MIN,2292,5567,6233,1412,941,316,27,128,715,675,544,29,1329,53,44,25,97,99,36,0.254
2014,BAL,2294,5596,6130,1434,943,264,16,211,705,681,401,29,1285,62,36,35,112,44,20,0.256
2014,WSN,2265,5542,6216,1403,959,265,27,152,686,635,517,29,1304,56,41,60,115,101,23,0.253
2014,PIT,2362,5536,6224,1436,975,275,30,156,682,659,520,46,1244,78,35,54,127,104,47,0.259
2014,CLE,2391,5575,6222,1411,962,284,23,142,669,644,504,24,1189,42,49,51,126,104,27,0.253
2014,SFG,2353,5523,6087,1407,976,257,42,132,665,636,427,37,1245,43,49,45,113,56,27,0.255
2014,CHW,2285,5543,6077,1400,934,279,32,155,660,625,417,33,1362,60,38,19,127,85,36,0.253
2014,KCR,2273,5545,6058,1456,1046,286,29,95,651,604,380,22,985,53,47,33,131,153,36,0.263
2014,MIL,2327,5462,6065,1366,891,297,28,150,650,617,423,32,1197,73,37,70,137,102,43,0.25
2014,MIA,2311,5538,6185,1399,987,254,36,122,645,614,501,49,1419,35,39,71,143,58,21,0.253
2014,TEX,2264,5460,6026,1400,1001,260,28,111,637,597,417,37,1162,61,45,41,148,105,59,0.256
2014,BOS,2283,5551,6226,1355,930,282,20,123,634,601,535,36,1337,68,52,20,138,63,25,0.244
2014,SEA,2333,5450,5977,1328,913,247,32,136,634,600,396,33,1232,60,34,35,113,96,42,0.244
2014,NYY,2288,5497,6082,1349,929,247,26,147,633,591,452,16,1133,56,47,29,111,112,26,0.245
2014,HOU,2229,5447,6055,1317,895,240,19,163,629,596,495,27,1442,55,36,22,122,122,37,0.242
2014,NYM,2294,5472,6145,1306,887,275,19,125,629,602,516,42,1264,54,44,59,112,101,34,0.239
2014,STL,2324,5426,6086,1371,970,275,21,105,619,585,471,28,1133,86,39,64,140,57,32,0.253
2014,PHI,2282,5603,6198,1356,953,251,27,125,619,584,443,42,1306,55,37,59,95,109,26,0.242
2014,ARI,2274,5552,6089,1379,955,259,47,118,615,573,398,31,1165,43,36,56,115,86,33,0.248
2014,CHC,2358,5508,6102,1315,857,270,31,157,614,590,442,29,1477,54,41,57,94,65,40,0.239
2014,TBR,2352,5516,6205,1361,957,263,24,117,612,586,527,31,1124,66,53,43,135,63,27,0.247
2014,CIN,2213,5395,5978,1282,877,254,20,131,595,562,415,22,1252,52,37,76,88,122,52,0.238
2014,ATL,2252,5468,6064,1316,931,240,22,123,573,545,472,31,1369,43,27,53,121,95,33,0.241
2014,SDP,2362,5294,5905,1199,836,224,30,109,535,500,468,27,1294,41,45,56,118,91,34,0.226
2015,TOR,2337,5509,6231,1480,923,308,17,232,891,852,570,12,1151,54,62,36,140,88,23,0.269
2015,NYY,2401,5567,6268,1397,894,272,19,212,764,737,554,23,1227,63,54,24,105,63,25,0.251
2015,TEX,2358,5511,6187,1419,936,279,32,172,751,707,503,32,1233,76,54,43,99,101,39,0.257
2015,BOS,2268,5640,6237,1495,1007,294,33,161,748,706,478,28,1148,46,42,30,127,71,27,0.265
2015,COL,2436,5572,6071,1479,970,274,49,186,737,702,388,47,1283,33,34,44,114,97,43,0.265
2015,HOU,2333,5459,6073,1363,829,278,26,230,729,691,486,22,1392,56,43,28,102,121,48,0.25
2015,KCR,2263,5575,6116,1497,1016,300,42,139,724,689,383,28,973,77,47,34,133,104,34,0.269
2015,ARI,2393,5649,6276,1494,1003,289,48,154,720,680,490,40,1312,33,57,46,134,132,44,0.264
2015,BAL,2249,5485,6007,1370,887,246,20,217,713,686,418,23,1331,51,32,20,127,44,25,0.25
2015,WSN,2245,5428,6117,1363,908,265,13,177,703,665,539,38,1344,44,51,55,129,57,23,0.251
2015,PIT,2431,5631,6285,1462,1003,292,27,140,697,661,461,46,1322,89,41,63,115,98,45,0.26
2015,SFG,2342,5565,6153,1486,1023,288,39,136,696,663,457,30,1159,49,37,45,142,93,36,0.267
2015,MIN,2311,5467,6017,1349,872,277,44,156,696,661,439,31,1264,40,41,30,133,70,38,0.247
2015,OAK,2349,5600,6171,1405,936,277,46,146,694,661,475,21,1119,40,38,14,124,78,29,0.251
2015,DET,2340,5605,6159,1515,1026,289,49,151,689,660,455,36,1259,41,35,23,152,83,51,0.27
2015,CHC,2406,5491,6200,1341,868,272,30,171,689,657,567,47,1518,74,35,32,102,95,37,0.244
2015,NYM,2325,5527,6145,1351,862,295,17,177,683,654,488,42,1290,68,32,29,130,51,25,0.244
2015,CLE,2285,5439,6109,1395,922,303,29,141,669,640,533,34,1157,39,50,47,134,86,28,0.256
2015,LAD,2379,5385,6090,1346,870,263,26,187,667,638,563,31,1258,60,30,49,135,59,34,0.25
2015,LAA,2459,5417,5990,1331,891,243,21,176,661,621,435,34,1150,58,40,37,116,52,34,0.246
2015,SEA,2407,5544,6131,1379,897,262,22,198,656,624,478,31,1336,36,35,38,123,69,45,0.249
2015,MIL,2377,5480,6024,1378,925,274,34,145,655,624,412,35,1299,41,34,55,130,84,29,0.251
2015,SDP,2396,5457,6019,1324,880,260,36,148,650,623,426,22,1327,40,42,52,108,82,29,0.243
2015,STL,2406,5484,6139,1386,922,288,39,137,647,619,506,47,1267,66,42,39,128,69,38,0.253
2015,TBR,2479,5485,6071,1383,906,278,32,167,644,612,436,22,1310,84,47,19,121,87,45,0.252
2015,CIN,2337,5571,6196,1382,931,257,27,167,640,613,496,38,1255,42,40,47,112,134,38,0.248
2015,PHI,2321,5529,6053,1374,935,272,37,130,626,586,387,20,1274,54,29,53,119,88,32,0.249
2015,CHW,2265,5533,6070,1381,958,260,27,136,622,595,404,22,1231,65,37,30,125,68,42,0.25
2015,MIA,2297,5463,5988,1420,1024,236,40,120,613,575,375,30,1150,39,40,71,133,112,45,0.26
2015,ATL,2340,5420,6034,1361,992,251,18,100,573,548,471,39,1107,44,31,67,148,69,33,0.251
